stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
953,"WIBRZ01","Wiry/Brzoskwiniowa",52.3296370124,16.8363890627,B
2030,"TPKAI01","Tarnowo Pdg/Karolewo I",52.4688476559,16.6838991601,C
2153,"TUKRO02","Tulce/Krótka",52.3426690000,17.0762610000,B
3579,"GSKA01","Głuchowska",52.3716286000,16.8747210000,A
768,"SZAM01","Szamotulska",52.4046890900,16.8832369900,A
1780,"KOMAG02","Komorniki/Magazynowa",52.3454522855,16.8273869490,B
2515,"ZAOLS02","Zalasewo/Olszynowa",52.3886820000,17.0934280000,B
4419,"KDRAD01","Kórnik/Bnin Radosna",52.2281333469,17.0805234339,C
2613,"KDBIE01","Kórnik/Bnin Armii Krajowej",52.2354522900,17.0942403900,C
2169,"BOWOJ02","Bolechowo-Os./Wojska Polskiego",52.5414489600,16.9725434600,C
2289,"CEZAL01","Czerwonak/Zalesie",52.4649436430,16.9910483270,B
2358,"SIDWA01","Sierosław/Okrężna ",52.4058670000,16.6658280000,C
620,"OGDY01","Ogrody",52.4169067600,16.8818094600,A
1537,"KRSZ01","Krzesiny Szkoła",52.3411399600,16.9924082900,A
485,"SERB04","Serbska",52.4313437400,16.9475532400,A
33,"ARPO42","Armii Poznań",52.4213487500,16.9235154600,A
2346,"GROKR01","Gruszczyn/Okrężna",52.4397720000,17.0749180000,B
2304,"KEPAL01","Krerowo/Pałac",52.2959357000,17.1947378400,B
2268,"KYCME01","Kliny/Cmentarz Ewangelicki",52.4855072300,17.0566298700,C
99,"ARCI42","Arciszewskiego",52.3926985000,16.8869293500,A
1815,"WISE04","Wilczak/Serbska",52.4307468300,16.9515943800,A
2267,"KYORL02","Kliny/Orla",52.4783680900,17.0421019700,C
743,"OSTR01","Ostroroga",52.4007473900,16.8824578700,A
3838,"WTWIT01","Witkowice/Gorgoszewo Skrzyżowanie ",52.4818740000,16.5255420000,C
4021,"PAWRZ02","Palędzie/Wrzosowa",52.3726579133,16.7266370637,C
1276,"CZEK02","Czekalskie",52.4048195500,16.9843631500,A
1412,"OBII01","Os. Orła Białego II",52.3760766600,16.9603524000,A
282,"ZLLAG02","Złotniki/Łagiewnicka",52.4914781500,16.8466062100,B
4245,"TPOSI02","Tarnowo Pdg/OSiR",52.4632240000,16.6495020000,C
884,"PURON02","Puszczykowo/Rondo Heigelmanna",52.2812281400,16.8512104300,C
1379,"SWAK01","Św. Antoniego Kościół",52.3639227300,16.9327687900,A
2026,"TPKAR01","Tarnowo Pdg/Karolewo III",52.4744062289,16.7012983274,C
2426,"LOSAR02","Łowęcin/Sarbinowska",52.4187450000,17.1333030000,C
4499,"SZCM02","Szczawnicka Cmentarz",52.4387345300,16.8899214300,A
329,"SLPRO02","Suchy Las/Promienista",52.4781626300,16.8604308500,B
636,"ZGOR01","Zgorzelecka",52.4120717800,16.8580344800,A
1756,"GLTEC01","Głuchowo/Tęczowa",52.3449651909,16.7749975990,C
1323,"GLSZ01","Głuszyna Szkoła",52.3139840300,16.9648432500,A
1739,"PLZCH01","Plewiska/Zachodnia",52.3694219400,16.8211310500,B
3550,"KOKSW05","Komorniki/Ks.Wawrzyniaka",52.3477530000,16.8016140000,B
872,"MORZM01","Mosina/Rzeczypospolitej Mosińskiej",52.2510109700,16.8514883300,C
4412,"CNPIW01","Czmoniec/Piwoniowa",52.1696426039,17.0258171464,C
2660,"DZSLO01","Dziećmierowo/Słoneczna",52.2668494800,17.0982606800,C
1424,"BIEL02","Bielniki",52.3944250900,16.9335446300,A
997,"SYCO01","Sycowska I",52.3643997500,16.8389831500,A
433,"RDWA01","Rdestowa",52.4899311000,16.9417111700,A
2962,"BRKUR02","Borówiec/Kurkowa",52.2811997299,17.0208586051,B
729,"ROSK01","Rondo Skubiszewskiego",52.3899356513,16.8529470488,A
2429,"SBDZI01","Sarbinowo/Dzika",52.4238060000,17.1560950000,C
3840,"WITWI02","Witkowice/",52.4977040000,16.5294930000,C
1883,"RKMIC01","Rokietnica/Mickiewicza",52.5158567900,16.7396183900,B
2231,"GWTAN01","Tanibórz/Wschód",52.3516694700,17.1465630000,B
2459,"SGSOK01","Sokolniki Gwiazdowskie/Sokolnicka",52.4092450000,17.1672800000,C
1008,"FABI01","Fabianowo",52.3653535900,16.8558235000,A
933,"LUWPL04","Luboń/Wojska Polskiego",52.3430438212,16.8745668792,B
1700,"CMNA42","Cmentarna",52.3850653100,16.8391843000,A
2053,"LUOSK01","Luboń/Ośrodek Kultury",52.3283376170,16.8774888767,B
516,"RZEP02","Rzepeckiej",52.4549770000,16.8826823700,A
1019,"OSIA02","Ostatnia",52.3729373400,16.8664989900,A
4335,"MOSTA01","Mosina/Stadion",52.2451059472,16.8414361493,B
703,"ZKSWI01","Zakrzewo/Świerkowa",52.3984719500,16.7163313800,C
2089,"TPOKR01","Tarnowo Pdg/Okrężna",52.4693106700,16.6515268200,C
2657,"DZPOL02","Dziećmierowo/Polna",52.2591888000,17.0961217700,C
4298,"BLBOL01","Bolesławiec/",52.2093989876,16.7827010470,C
1790,"COJES01","Chomęcice/Jesionowa",52.3307600000,16.7579400000,C
2483,"SOSN02","Sośnicka",52.4059490000,17.0422430000,A
339,"LEWI02","Łęgowskiego Wiadukt",52.4631964400,16.8893035600,A
945,"WILAS04","Wiry/Laskowska",52.3150707727,16.8630559797,B
2502,"JSEKO01","Jasin/Rabowicka Pętla",52.3980640000,17.1091890000,B
1318,"BBOSZ02","Babki/Ośrodek Zdrowia",52.3134674000,16.9362469600,B
2062,"LKADM02","Lusówko/Admiralska",52.4424291400,16.6338952500,C
1843,"RKROL02","Rokietnica/Rolna",52.5074927200,16.7553704500,B
948,"WIKOS01","Wiry/Kościół",52.3196740061,16.8542752295,B
362,"HULE01","Hulewiczów",52.4565911000,16.8979252100,A
2662,"DZLES01","Dziećmierowo/Leśna",52.2709152500,17.0980362200,C
799,"URWO01","Urząd Wojewódzki",52.4111032500,16.9190324100,A
1825,"CECME01","Czerwonak/Cmentarz",52.4581666900,16.9955009300,B
2162,"PRPLN01","Promnice/Północna",52.5413062000,16.9655419200,C
1230,"KOBY01","Kobylepole",52.3908454600,17.0182072300,A
2251,"NGOZD01","Nagradowice/Ośrodek Zdrowia",52.3208087900,17.1473302500,B
2679,"MSJES01","Mościenica/Jesienna",52.2566674695,17.0585789371,C
4393,"RBWIE03","Robakowo/Wiejska",52.3105663614,17.0741038938,B
777,"MARS02","Marszałkowska",52.4004990000,16.8639220000,A
2843,"BRZE03","Brzechwy",52.4074138036,16.8458929335,A
2099,"GRKRE02","Góra/Kręta",52.4793463200,16.6361721100,C
429,"UMTA01","Umultowo",52.4819694900,16.9436187200,A
1707,"ZAME72","Zamek",52.4073400000,16.9181100000,A
1789,"COJES02","Chomęcice/Jesionowa",52.3305800000,16.7583600000,C
1900,"ZYPET02","Żydowo/Pętla",52.5472268800,16.7512925000,B
325,"SLPRZ02","Suchy Las/Os. Przylesie",52.4733187600,16.8979097800,B
2909,"PRPLN05","Promnice/Północna",52.5417574700,16.9659340400,C
2244,"KLSTR01","Kleszczewo/Baza ZK",52.3333725613,17.1635642431,B
1489,"OSLE02","Os. Lecha",52.3895226900,16.9791244300,A
1293,"BRSZK01","Borówiec/Szkoła",52.2773756200,17.0473616100,B
1024,"LESZ01","Leszczyńska",52.3762098000,16.8788445100,A
1022,"SMIE02","Śmiełowska",52.3732651000,16.8767426500,A
1113,"SLKA03","Słowiańska",52.4273333500,16.9192608700,A
4383,"PZPZI01","Pierzchno/I",52.2711896772,17.1444679560,C
1298,"BRBOR02","Borówiec/Borówkowa",52.2821272100,17.0141312700,B
1149,"STUD02","Studzienna",52.4195420100,16.9646698600,A
4010,"OLOK42","Os. Łokietka",52.4479022614,16.9450932746,A
2080,"CDPAR02","Ceradz Dolny/Parkowa",52.4208287700,16.5712571500,C
519,"TULO01","Tułodzieckiej",52.4524763700,16.8871356900,A
1277,"CZEK01","Czekalskie",52.4047970400,16.9844423300,A
1906,"RKSPO01","Rokietnica/Spokojna",52.5139066200,16.7602349300,B
3108,"KNKSH02","Konarzewo/Ks. Hartlieba",52.3431159868,16.6952477264,C
18,"SWLE41","Św. Leonarda",52.4328200000,16.9113300000,A
2323,"KVPET02","Krzyżowniki/Pętla",52.3035846700,17.1285840500,B
2282,"DEKAS01","Dębogóra/Kasztanowa",52.4909536400,17.0956738100,C
3175,"DOKAS02","Dopiewo/Kasztanowa",52.3641111813,16.6714732918,C
534,"LUDO01","Lutycka/Dojazd",52.4408641700,16.9009890200,A
1555,"SPLA02","Spławie",52.3513448400,17.0228163600,A
30,"SZYM41","Szymanowskiego",52.4603958500,16.9171552600,A
4125,"SLPOZ03","Suchy Las/Os. Poziomkowe",52.4692060000,16.8736460000,B
1248,"SDKUP02","Swarzędz/Kupiecka",52.3977470000,17.0721820000,B
462,"SARM01","Sarmacka",52.4470172200,16.9277737600,A
35,"ZNIW42","Żniwna",52.4247660000,16.9268332600,A
1052,"SJNZ01","Sempołowskiej",52.3628655300,16.8913227000,A
3398,"PPDWO30","Pobiedziska/Dworzec",52.4794874815,17.2769318451,C
3044,"KJKJI01","Krajkowo/I",52.2106566353,16.9392050068,C
2523,"TPGRU01","Tarnowo Pdg/27 Grudnia",52.4723900100,16.6468882600,C
1345,"RYDZ01","Rydzowa",52.3343571500,16.9119543700,A
3965,"OPIA02","Os. Piastowskie",52.3895571818,16.9471740911,A
3736,"WIDWR01","Wierzenica/Dwór",52.4606614200,17.0690272900,C
2091,"GRCIE01","Góra/Ciepła",52.4752718300,16.6427622100,C
815,"DEEC02","Dębiec PKM",52.3710025600,16.9016160500,A
1785,"COSZK01","Chomęcice/Szkoła",52.3336658300,16.7407826600,C
3316,"GVOSI01","Gaj Wielki/",52.4591930000,16.5769490000,C
2857,"TRLIP01","Trzek/Lipowa",52.3567172500,17.1706833300,B
1563,"KOZAK02","Komorniki/Zakładowa Wirenka",52.3354303900,16.8084246300,B
1225,"PIWN01","Piwna",52.3926936100,17.0148841400,A
262,"ZILAS02","Zielątkowo/Las",52.5462284100,16.8001455900,C
4396,"XNSKR01","Konarskie/Skrzyżowanie",52.2214854084,17.0479239763,C
831,"DENZ02","Dębina",52.3776519000,16.9268052800,A
1914,"SOSAN02","Sobota/Sanktuarium",52.5223346500,16.7988325000,B
906,"LUKOS01","Luboń/Kościół",52.3308280912,16.8772084830,B
332,"SLJAG01","Suchy Las/Os. Jagodowe",52.4712284700,16.8684930200,B
431,"LOPI01","Łopianowa",52.4868020500,16.9426238300,A
1143,"ROSR02","Rondo Śródka",52.4104256300,16.9554669000,A
1533,"JARO01","Jarosławska",52.3431891600,16.9853661000,A
1303,"KALOT01","Kamionki/Lotnicza",52.2851072300,16.9993703300,B
3038,"MOSSZ01","Mosina/Sowiniecka/Szkoła",52.2427824317,16.8564593489,C
3933,"PKDWR02","Pokrzywnica/Dworska",52.3900798294,16.6775238927,C
876,"PUMAJ01","Puszczykowo/3 Maja",52.2720650500,16.8685220900,C
234,"RSTA42","Rondo Starołęka",52.3810055800,16.9435005400,A
2966,"KOWIS02","Komorniki/Wiśniowa",52.3476918200,16.8117238800,B
1397,"STMA02","Starołęka Mała",52.3761813600,16.9399001600,A
1855,"RKKAL01","Rokietnica/Os. Kalinowe",52.5050900300,16.7419787600,B
49,"ROSO41","Rondo Solidarności",52.4339826300,16.9379315500,A
4390,"PZJAG02","Pierzchno/Jagrol",52.2676386370,17.1478769532,C
205,"Z II41","Żegrze II",52.3807026800,16.9659212900,A
1466,"PILS01","Piłsudskiego",52.3917749100,16.9530540900,A
2235,"TRTOD01","Trzek/Topolowa",52.3474908081,17.1532634638,B
1952,"PMWIA02","Przeźmierowo/Wiadukt",52.4354184600,16.7863166501,B
739,"GROC02","Grochowska",52.3991410000,16.8773100000,A
1236,"BORO02","Borówki",52.3896073900,17.0315419500,A
399,"STOI02","Stoińskiego",52.4502145200,16.9271609000,A
2027,"TPKAR02","Tarnowo Pdg/Karolewo III",52.4747929644,16.7019329026,C
973,"LUSZN01","Luboń/Szkolna",52.3427641783,16.8681030664,B
58,"OGDY41","Ogrody",52.4170536400,16.8824626700,A
1782,"KNPET02","Konarzewo/Pętla",52.3347636800,16.7172029700,C
2186,"OWKSP04","Owińska/Ks. Piotrowskiego",52.5167176300,16.9755695100,C
4207,"TPTUR01","Tarnowo Pdg/Turyńska",52.4777710000,16.6619510000,C
3924,"KDINS01","Kórnik/Parkowa Instytut",52.2453229229,17.0959746027,C
2636,"JWDOL01","Jeziory Wielkie/Doliwiec Leśny",52.1739889900,17.1405794000,D
564,"KRAJ02","Krajenecka",52.4547254800,16.8432035500,A
2373,"PTCED01","Potasze/Cedrowa",52.5221028900,17.0163732400,C
1003,"KRKA02","Krzepicka",52.3767922500,16.8417003600,A
2132,"BRDEB01","Borówiec/Dębowa",52.2903510000,17.0450950000,B
605,"KOLO02","Kołobrzeska",52.4310730000,16.8385071200,A
161,"KORN44","Kórnicka",52.3991553500,16.9533801200,A
1028,"RAKO02","Rakoniewicka",52.3779337800,16.8811918100,A
780,"WOPO02","Wojska Polskiego",52.4275206900,16.8978431400,A
4500,"SZCM01","Szczawnicka Cmentarz",52.4387452000,16.8902098900,A
412,"OSZY02","Os. Zygmunta Starego",52.4602850600,16.9083573400,A
1932,"WYZBO01","Wysogotowo/Zbożowa",52.4178391600,16.7746632200,B
2020,"KBLIP02","Kobylniki/Lipowa",52.4722206602,16.7491423479,B
67,"BUKO41","Bukowska",52.4100521300,16.8888257200,A
794,"STRO01","Stróżyńskiego",52.4524870400,16.9032391400,A
1441,"URMA01","Urząd Marszałkowski",52.4152812800,16.9267934100,A
1744,"PLSTP01","Plewiska/Straż Pożarna",52.3653270100,16.8079950400,B
715,"ZONK02","Żonkilowa",52.3868266982,16.8182520173,A
662,"OWCZ01","Owcza",52.4069715800,16.8189420200,A
2103,"GRPET01","Góra/Pętla",52.4855115500,16.6295712900,C
1181,"JANI01","Janikowo",52.4364344700,17.0183890100,A
1986,"LWPRZ01","Lusowo/Przylesie",52.4147719400,16.7183908600,C
1062,"OSKO01","Os. Kopernika",52.3855792700,16.8635917600,A
301,"SLSZK01","Suchy Las/Szkoła",52.4763622500,16.8722816600,B
4188,"ZEFPP01","Żerniki/Fabryczna Panattoni Park",52.3317664900,17.0277208700,B
2212,"KZZON01","Koziegłowy/Żołnierzy Niezłomnych",52.4464440500,16.9837328800,B
1911,"BYPOR01","Bytkowo/Porzeczkowa",52.5161970300,16.7719880400,B
1085,"KRAU71","Krauthofera",52.3875876200,16.8913676500,A
64,"RJEZ74","Rynek Jeżycki",52.4122250800,16.9056406100,A
197,"BYST41","Bystra",52.3709991833,16.9345268592,A
1681,"WIMO01","Wilków Morskich",52.4779998300,16.7812816100,A
2022,"NAKOB02","Napachanie/Kobylnicka",52.4841275465,16.7291606071,B
83,"MATE71","Matejki",52.4057875800,16.9009328700,A
1246,"SDRAC01","Swarzędz/Os. Raczyńskiego",52.3991040000,17.0647120000,B
1718,"POGL73","Poznań Główny",52.4036499300,16.9163628400,A
1300,"KALIS01","Kamionki/Lisia",52.2840455900,17.0066226900,B
1552,"SPKA01","Spławska",52.3574831700,16.9996995800,A
258,"ZIOSP02","Zielątkowo/OSP",52.5599872100,16.7977223800,C
1016,"URAD01","Uradzka",52.3558237000,16.8589186200,A
4117,"SKWIO01","Skórzewo/Wiosenna",52.3999098575,16.7815351995,B
767,"SZAM02","Szamotulska",52.4044515900,16.8803991000,A
2781,"PUNAD01","Puszczykowo/Nadwarciańska",52.2656695500,16.8728698200,C
1665,"SOB26","Os. Sobieskiego",52.4652405040,16.9163750563,A
3050,"SCSZC02","Szczytniki/Szczelinka",52.2939981006,17.0046548005,B
1522,"RODA02","Rodawska",52.3630699200,16.9967864700,A
2732,"KKNZ02","Koszalińska",52.4689674800,16.8212195500,A
2625,"BJMDW01","Błażejewo/Mikołajczyka II",52.2107484300,17.1008920600,C
3293,"UAMF92","UAM Wydział Fizyki",52.4651390000,16.9293840000,A
2226,"GWOSP02","Gowarzewo/OSP",52.3645166500,17.1238394000,B
723,"JUNI30","Junikowo",52.3835469700,16.8335096200,A
4013,"NARA71","Naramowice",52.4459420000,16.9452520000,A
3993,"SZYD02","Szydłowiecka",52.3584470000,16.9453820000,A
1322,"DASZ02","Daszewicka",52.3181933900,16.9540910700,A
3215,"KNCME02","Konarzewo/Cmentarz",52.3331360000,16.7040110000,C
1222,"ZIEM01","Ziemowita",52.4031248000,17.0203630400,A
1978,"BTBRZ02","Batorowo/Brzask",52.4227121100,16.7321550700,C
3593,"KOJEZ05","Komorniki/Jeziorna",52.3295738482,16.8031993026,B
1774,"KOWI03","Kowalewicka Wiadukt",52.3624975300,16.8525441700,A
224,"POKA41","Polanka",52.3967500000,16.9625600000,A
1766,"PLSZK02","Plewiska/Szkoła Nr 1",52.3618800000,16.8084700000,B
1430,"PLBE02","Pl. Bernardyński",52.4040241900,16.9370262300,A
2048,"RUSZK01","Rumianek/Szkolna",52.4614306700,16.6237900800,C
3109,"KNKSH01","Konarzewo/Ks. Hartlieba",52.3433324830,16.6949378175,C
3018,"RESKR01","Rogalinek/Skrzyżowanie",52.2492735046,16.9000679487,C
3230,"DOOSR03","Dopiewo/Ośrodek Zdrowia",52.3575918342,16.6834564332,C
3190,"WKSZK02","Więckowice/Szkoła",52.3967880000,16.6380710000,C
171,"AWF42","AWF",52.3996550000,16.9355200000,A
1014,"KOTO01","Kotowo",52.3592800000,16.8536500000,A
2497,"JSRDW02","Jasin/Rabowicka I",52.4002010000,17.0943020000,B
2512,"ZAOSE01","Zalasewo/Os. Europejskie",52.3925200000,17.0914510000,B
4260,"ZAPPR01","Zalasewo/Polska/Przedszkole",52.3899356500,17.0869724900,B
451,"BORA01","Boranta",52.4565857324,16.9513652391,A
1942,"PMKOS01","Przeźmierowo/Kościelna",52.4268560000,16.7850630000,B
4332,"DARN02","Darniowa",52.4142139967,17.0538565168,A
4098,"RYBI01","Rybitwy",52.4262086000,17.0639211800,A
256,"ZIPOG01","Zielątkowo/Pogodna",52.5600237900,16.8069706400,C
2859,"GWTRZ02","Gowarzewo/Trzecka",52.3606316000,17.1377200300,B
2573,"PDPAR02","Przebędowo/Park",52.5861815200,17.0140179600,C
2025,"NAKOK01","Napachanie/Kokoszczyńska",52.4841994816,16.7197305240,B
2960,"KOKLB01","Komorniki/Kolumba",52.3477701100,16.7964773100,B
192,"DEEC41","Dębiec PKM",52.3728856000,16.9031857800,A
418,"UAMG01","UAM Wydział Geografii",52.4641879876,16.9410792174,A
820,"MALI01","Malinowa",52.3694780000,16.9099020000,A
13,"BONN42","Bonin",52.4302063000,16.9106352900,A
2018,"WLKE02","Wielkie",52.4650515927,16.7594136120,B
756,"POLN02","Polna Szpital",52.4092260700,16.8907428300,A
4223,"WOLC02","Wołczyńska",52.3741000000,16.8321500000,A
92,"RYLA71","Rynek Łazarski",52.3939634477,16.8985036470,A
2540,"ZATRA01","Zalasewo/Transportowa",52.3823110000,17.0672580000,B
2202,"CEOPP01","Czerwonak/Os. Przylesie PKM",52.4805430700,16.9785901400,B
3814,"PINA02","Piękna",52.4176452192,16.8761754536,A
4365,"CERSP01","Czerwonak/Rondo Spachacza",52.4639731500,17.0010839900,B
4312,"KRKRI01","Krosno/Krosińska I",52.2268128832,16.8404031199,C
2615,"KDBRY01","Kórnik/Bnin Rynek",52.2311874800,17.0964539200,C
1949,"BNPRZ02","Baranowo/Przemysława",52.4339241270,16.7961599449,B
1414,"SZII02","Os. Stare Żegrze",52.3806136000,16.9567160600,A
135,"ROSR44","Rondo Śródka",52.4095004300,16.9564208700,A
3342,"LEDWO03","Łęczyca/Dworcowa",52.3162622437,16.8821227516,B
2831,"LUKWI02","Luboń/Kwiatowa",52.3219934932,16.8789941482,B
2285,"KFDWR02","Karłowice/Dwór",52.4948070000,17.1013400000,C
1951,"PMWIA01","Przeźmierowo/Wiadukt",52.4356255021,16.7863609228,B
2104,"BZZNO01","Brzezno/",52.4912558700,16.6223832000,C
57,"PIAT42","Piątkowska",52.4414917400,16.9105875300,A
1273,"ZOO02","Nowe Zoo",52.4003671000,16.9928965800,A
3606,"KJCH02","Konopackiej",52.3564360000,16.8415590000,A
766,"MARC04","Marcelińska",52.4048603400,16.8755535000,A
3052,"KANKA02","Kamionki/Nad Kople",52.2896360508,17.0003160768,B
992,"SYCH01","Sycowska Centrum Handlowe",52.3541640000,16.8385760000,A
4430,"IAS01","Izba Administracji Skarbowej",52.3882235013,16.9237095653,A
2938,"JSNZ01","Jaśkowiaka",52.4886360000,16.9146980000,A
1053,"SJNZ02","Sempołowskiej",52.3631961200,16.8919351800,A
600,"BRAN02","Braniewska",52.4351872600,16.8231796800,A
1536,"KRNY02","Krzesiny",52.3412578600,16.9881387800,A
2643,"PSPLD02","Prusinowo/Południe",52.1921531300,17.1307352400,C
1930,"WYWIE03","Wysogotowo/Wierzbowa",52.4137947000,16.7773217100,B
4275,"LEPOL01","Łęczyca/Polna",52.3069400000,16.8713500000,B
3735,"RASTR01","Rabowice/Świerkowe Tarasy",52.3871871700,17.1055079900,C
2122,"SCSAR01","Szczytniki/Sarnia",52.2994680000,17.0113330000,B
1686,"GORC41","Górczyn PKM",52.3814366000,16.8810077200,A
2033,"TPCZE01","Tarnowo Pdg/Czereśniowa",52.4666075600,16.6757365800,C
2641,"ZMRYN02","Zaniemyśl/Rynek",52.1571402000,17.1595303900,D
3720,"DHKLO03","Dachowa/Klonowa",52.2973633200,17.0984031800,B
3878,"CZ I91","Os. Czecha I",52.3823295930,16.9835957575,A
2472,"SDARM02","Swarzędz/Armii Poznań/Szkoła",52.3955270000,17.0667990000,B
1710,"PAWI02","Park Wilsona",52.3981793400,16.9023767200,A
588,"STOB01","Stobnicka",52.4539974300,16.8010815400,A
438,"BIMLY01","Biedrusko/Młyn",52.5148237600,16.9394120800,B
2225,"GWAKA02","Gowarzewo/Akacjowa",52.3622413400,17.1301941700,B
1517,"LUGA02","Ługańska",52.3714685400,16.9954669000,A
4175,"JUST02","Junikowo PKM",52.3775800000,16.8235800000,A
1311,"DAPET01","Daszewice/Pętla",52.2957547000,16.9627815600,B
302,"SLKOS01","Suchy Las/Kościół",52.4731420800,16.8772196700,B
2066,"LKBOS02","Lusówko/Bosmańska",52.4346758500,16.6448749500,C
243,"CHSZK02","Chludowo/Szkoła",52.5561078600,16.8443741700,C
3803,"MELES01","Mielno/Leśna",52.4937747968,17.0673301722,C
4216,"PLMIE01","Plewiska/Miętowa",52.3732000000,16.8133500000,B
70,"RONJ41","Rondo Nowaka-Jeziorańskiego",52.4023512573,16.8882176253,A
160,"KORN43","Kórnicka",52.3990164300,16.9534845600,A
2163,"TUZDB01","Tulce/Zadęby",52.3451816900,17.0915260500,B
2503,"JSEKO02","Jasin/Rabowicka Pętla",52.3976630000,17.1104510000,B
2674,"PZSTA01","Pierzchno/PKP (Stacja)",52.2644035996,17.1569085820,C
4410,"CNMAR01","Czmoniec/Marzymięta",52.1679400344,17.0392908017,C
3894,"UNLU02","Unii Lubelskiej",52.3720359000,16.9498156900,A
2266,"KYORL01","Kliny/Orla",52.4781827200,17.0414852700,C
2072,"JNPAL02","Jankowice/Pałac",52.4407939900,16.6173347100,C
63,"PONA71","Polna",52.4142148300,16.8972021400,A
978,"LUPBO02","Luboń/Pl. Bojanowskiego",52.3497457016,16.8614916780,B
533,"LUTY02","Lutycka",52.4387976400,16.8957417100,A
1027,"RAKO01","Rakoniewicka",52.3775167500,16.8803468800,A
3690,"ZLPKM02","Złotniki/PKM",52.4951772031,16.8367580017,B
1317,"BBJDW01","Babki/Jednostka Wojskowa",52.3115864386,16.9379506139,B
4544,"LUKRE04","Luboń/Kręta",52.3194754451,16.8739175464,B
2559,"MGNRY01","M. Goślina/Nowy Rynek",52.5673982400,16.9954782300,C
2278,"WEPET01","Wierzonka/Pętla",52.4780400000,17.0951310000,C
1370,"ROMI01","Rondo Minikowo",52.3549535600,16.9429748500,A
2469,"SDZUR01","Swarzędz/Armii Poznań/Żurawia",52.3951720000,17.0593690000,B
2322,"ZNNSW01","Zimin/Nowy Świat Centrum",52.2989001200,17.1753768100,B
3948,"SPKA04","Spławska",52.3571048734,17.0003898646,A
1408,"OB I01","Os. Orła Białego I",52.3754060900,16.9651236900,A
353,"STRS02","Strzeszyn PKM",52.4619623700,16.8667445600,A
1475,"LI01","Os. Lecha I",52.3878126200,16.9678225400,A
1155,"GLOW03","Główna",52.4223130200,16.9767435600,A
4508,"CYSZK01","Chyby/Szkolna",52.4568890000,16.7673610000,B
2839,"SWRZ01","Świerzawska",52.4055360000,16.8615510000,A
1184,"JAOGR01","Janikowo/Ogrodnicza",52.4436050000,17.0324690000,B
1335,"CZGLU01","Czapury/Głuszynka",52.3180093000,16.9129402900,B
2384,"DELES02","Dębogóra/Leśna",52.4974469900,17.0919767300,C
1258,"CHAR01","Chartowo",52.3958560000,16.9835090000,A
666,"MALW02","Malwowa",52.3977844500,16.8041007800,A
681,"DKPAR01","Dąbrówka/Parkowa",52.3835845000,16.7436277000,C
